0	0.00475356
1	0.000982419
2	0.00230114
3	0.0121104
4	0.00600278
5	0.0159435
6	0.0312527
7	0.0728227
8	0.0409226
9	0.0597189
10	0.0880592
11	0.0404537
12	0.0424809
13	0.0275994
14	0.016683
15	0.030619
16	0.0239824
17	0.0556761
18	0.0635624
19	0.0413842
20	0.0697801
21	0.0681132
22	0.0560541
23	0.0897029
24	0.132629
25	0.139253
26	0.0933326
27	0.0795035
28	0.0445684
29	0.0134731
30	0.000577981
31	0.00275613
32	0.00854441
33	0.00353649
34	0.00135004
35	0.0218801
36	0.0353897
37	0.0560076
38	0.0409485
39	0.0133855
40	0.0172407
41	0.00274688
42	0.00452803
43	8.58526e-06
44	0.0075396
45	0.00993444
46	0.008825
47	0.00876054
48	0.0152037
49	0.024016
50	0.0102901
51	0.0204631
52	0.009762
53	0.0170925
54	0.0065702
55	0.0147923
56	0.0150611
57	0.0191888
58	0.0165567
